company,industry1,industry2,city,state,description,pin,revenue,founded date,website,number of founder,founder1,founder2,founder3,employee,funding round,funding status,last funding date,last funding amt,last funding type,total funding amt,investor1,investor2,investor3,investor4,investor5,no of investor
Breathe Well-being,Diabetes,Fitness,New Delhi,Delhi,Breathe Wellbeing is a health tech startup that helps people manage and prevent type 2 diabetes.,110074,$10M to $50M,"Jan 1, 2015",www.breathewellbeing.in,2,Aditya Kaicker,Rohan Verma,,101-250,4,Early Stage Venture,"Jan 19, 2023","₹ 50,00,00,000.00",Series B,"$ 1,28,04,600.00",General Catalyst,Accel,Y Combinator,3one4 Capital,Scott Shleifer,12
Shop101,Apps,Consumer Goods,Mumbai,Maharashtra,Leading the next wave of e-commerce by becoming the most trusted reselling partner to millions of Indians,—,$1M to $10M,"Jun 5, 2015",www.shop101.com/,3,Abhinav Jain,Aditya Gupta,Kalpak Chhajed,101-250,3,M&A,"Mar 14, 2020","₹ 28,69,00,000.00",Series C,"$ 1,98,79,176.00",Kalaari Capital,Stellaris Venture Partners,Ramakant Sharma,Raghunandan G,Unilever Ventures,6
Rocketium,Marketing,Social Media,Bangalore,Karnataka,Rocketium provides a creative management platform that helps businesses improve in-app and website conversions.,560102,$10M to $50M,"Apr 1, 2015",rocketium.com,2,Anurag Dwivedi,Satej Sirur,,101-250,6,—,"Aug 24, 2023","$ 53,00,000.00",Venture - Series Unknown,"$ 95,10,000.00",Blume Ventures,1Crowd,Raghunandan G,Arka Venture Labs,ANME,8
Get My Parking,Automotive,Internet,New Delhi,Delhi,"Get My Parking, is a B2B Platform-as-a-Service company.",—,$10M to $50M,2015,www.getmyparking.com/,2,Chirag Jain,Rasik Pansare,,51-100,5,—,"May 27, 2021","₹ 43,00,00,000.00",Venture - Series Unknown,"$ 1,03,92,793.00",Indian Angel Network,IvyCap Ventures,IndusAge Partners,The Chennai Angels,BEENEXT,8
GUVI,Internet,,Chennai,Tamil Nadu,"Guvi is an IIT Madras-incubated company,is an online technical learning.",600113,Less than $1M,"Jul 2, 2014",www.guvi.in,3,Arun Prakash,Bala Murugan,Sridevi Arunprakash,01-Oct,5,M&A,"Sep 27, 2022","₹ 15,00,00,000.00",Seed,"₹ 22,00,00,000.00",Gray Matters Capital,GenNext Ventures,Vama Sundari Investments,Zone Startups In,CBA Capital,5
Skylark Drones,Aerospace,Drones,Bangalore,Karnataka,"Skylark Drones is a drone platform company that uses drones to acquire data, analyze, and present it to enterprises.",560029,$1M to $10M,2015,skylarkdrones.com/,2,Mrinal Pai,Mughilan Thiru Ramasamy,,Nov-50,2,Seed,"Jul 3, 2023",—,Pre-Seed,"₹ 22,34,00,000.00",Redstart Labs,Indian Angel Network,AdvantEdge Founders,Info Edge ventures,Karanpal Singh,8
Vidooly,Advertising,Analytics,Noida,Uttar Pradesh,"Vidooly develops cross-platform video intelligence software for content creators, brands, and media companies.",201301,$1M to $10M,Nov-14,vidooly.com,3,Ajay Mishra,Nishant Radia,Subrat Kar,101-250,5,M&A,"Feb 7, 2019","₹ 15,00,00,000.00",Series B,"$ 45,23,762.00",Alibaba Group,Bessemer Venture Partners,Times Internet,GVFL,TLabs,6
Wealthy,Financial Services,FinTech,Bangalore,Karnataka,Wealthy is a financial services platform that is leveraging technology to build superior financial advice and transaction capabilities.,560102,Less than $1M,2015,www.wealthy.in,3,Aditya Agarwal,Mathieu Guilmineau,Prashant Gupta,Nov-50,6,Early Stage Venture,"Feb 8, 2022","₹ 56,00,00,000.00",Series A,"$ 90,37,090.00",Venture Highway,Good Capital,Globevestor,FinSight Ventures,Alpha Wave Incubation,17
Pharmarack,B2B,Health Care,Pune,Maharashtra,Pharmarack is the largest B2B healthcare network in India.,411016,$1M to $10M,2015,www.pharmarack.com/,3,Amit Backliwal,Bhavik Parmar,Pradyumn Singh,101-250,2,Early Stage Venture,"Sep 23, 2019","$ 30,00,000.00",Series A,"$ 37,49,624.00",IvyCap Ventures,Unicorn India Ventures,Currae Healthtech,Patni Group,,4
RAAHO,Freight Service,Logistics,Gurgaon,Haryana,RAAHO is a trucking marketplace tracking of freight-loaded vehicles by connecting shippers with truckers.,—,$10M to $50M,2015,www.raaho.in,5,Abu Fahad,Joshua Jebakumar,Md. Imthiaz,101-250,2,Seed,"Mar 13, 2023","₹ 20,00,00,000.00",Seed,"₹ 32,50,00,000.00",Inflection Point Ventures,Blume Ventures,Roots Ventures,Kunal Shah,Vijay Shekhar Sharma,10
LenDenClub,Consumer Lending,Finance,Mumbai,Maharashtra,LenDenClub is a digital platform to bring investors and loan seekers at one place to achieve a common goal.,400 063,$1M to $10M,"Jul 7, 2015",www.lendenclub.com,2,Bhavin Patel,Dipesh Karki,,101-250,7,Early Stage Venture,"Dec 7, 2021","$ 1,00,00,000.00",Series A,"$ 1,16,10,510.00",Venture Catalysts,Kunal Shah,Ramakant Sharma,Artha Group,Anirudh A Damani,20
Finova Capital,Banking,Finance,Jaipur,Rajasthan,Finova Capital is a non-banking financial company focused on micro and small business.,302021,$1M to $10M,2015,finova.in/index.php,2,Mohit Sahney,Sunita Sahney,,501-1000,5,Late Stage Venture,"Mar 31, 2022","$ 6,50,00,000.00",Series D,"$ 14,10,00,000.00",Peak XV Partners,Norwest Venture Partners,Maj Invest Equity,Faering Capital,,4
Playment,Artificial Intelligence (AI),Autonomous Vehicles,Bangalore,Karnataka,Playment is a fully managed data labeling platform generating training data for computer vision models at scale.,560034,$1M to $10M,2015,playment.io,3,Ajinkya Malasane,Akshay Lal,Siddharth Mall,Nov-50,4,M&A,"Nov 21, 2017","$ 16,00,000.00",Seed,"$ 24,70,000.00",Y Combinator,Elevation Capital,SAIF Partners,Google Launchpad Accelerator,Sparkland Capital,6
CallHealth Services,Health Care,Health Insurance,Hyderabad,Andhra Pradesh,A technology-powered healthcare company with world’s first integrated virtual-and-mobility platform to bring healthcare services at home.,500 032,$100M to $500M,"Oct 1, 2014",www.callhealth.com,1,Sandhya Raju,,,501-1000,7,—,"Feb 5, 2018","$ 78,00,000.00",Venture - Series Unknown,"$ 4,46,24,430.00",Bennett Coleman and Co Ltd,Sachin Tendulkar,SH Group,AKAR Ventures llc,Pusarla Venkata Sidhu,8
StayVista,Hospitality,Hotel,Mumbai,Maharashtra,"\StayVista is a South Asia's largest luxury holiday home rental management company. We are on a mission to build the \""\""Marriott for Homes\""\""\""",400001,$1M to $10M,2015,www.stayvista.com,3,Amit Damani,Ankita Sheth,Pranav Maheshwari,101-250,4,—,"Sep 7, 2022","₹ 40,00,00,000.00",Venture - Series Unknown,"$ 71,28,815.00",Capri Global Capital,DSG Consumer Partners,Artha Group,Malpani Ventures,Singapore Angel Network,7
Healthians,Fitness,Health Care,Gurgaon,Haryana,Healthians is an online platform that provides health test home service.,122001,$50M to $100M,"Apr 7, 2014",www.healthians.com/,2,Deepak Sahni,Shruti Gupta,,251-500,6,Early Stage Venture,"Nov 18, 2019","$ 1,20,00,000.00",Series B,"$ 1,52,10,000.00",DG VENTURES,BEENEXT,Trifecta Capital Advisors,Mistletoe,Digital Garage (TSE: 4819),14
Revv,Apps,Automotive,Gurgaon,Haryana,Revv is an online car-rental startup that provides cars for rental and subscription.,122018,$1M to $10M,Jul-15,revv.co.in,2,Anupam Agarwal,Karan Jain,,101-250,3,M&A,"Aug 23, 2018","$ 1,43,00,000.00",Series B,"$ 2,33,00,000.00",Edelweiss Financial Services,Mahindra finance,Hyundai Motor Company,McKinsey & Company,BEENEXT,10
DRIVEU,E-Commerce,Rental,Bengaluru,Karnataka,DriveU is a convenient and a quick way of getting on demand drivers for consumers and businesses,560095,Less than $1M,"Jul 17, 2015",www.driveu.in/,3,Amulmeet Chadha,Ashok Shastry,Rahm Shastry,51-100,4,—,"Nov 13, 2018","₹ 7,00,00,000.00",Venture - Series Unknown,"$ 89,64,661.00",Capria Ventures,Unitus Ventures,Lead Angels Network,Rajeev Madhavan,Stevens Creek Ventures,7
Watchyourhealth.com,Assistive Technology,Electronic Health Record (EHR),Thane,Maharashtra,Watchyourhealth.com is an insurtech company that provides health insurance services.,400604,Less than $1M,Jun-15,www.watchyourhealth.com,3,Jay Patel,Prachi Shinde,Ratheesh Nair,101-250,1,Seed,"Jun 28, 2023","₹ 18,50,00,000.00",Seed,"₹ 18,50,00,000.00",Conquest Global Ventures,,,,,1
LocoBuzz,Analytics,Reputation,Mumbai,Maharashtra,LocoBuzz is an analytics-based integrated marketing platform.,—,$1M to $10M,2015,locobuzz.com/,3,Nitin Agarwal,Shubhi Agarwal,Vishal Agrawal,51-100,1,Seed,"May 11, 2021","₹ 9,00,00,000.00",Seed,"₹ 9,00,00,000.00",SIDBI Venture Capital,,,,,1
boodmo,Automotive,E-Commerce,Gurgaon,Haryana,boodmo is India’s number one online marketplace of automotive spare parts and accessories.,122015,$1M to $10M,"Jan 1, 2015",boodmo.com/,2,Oleksandr Danylenko,Yevgen Sokolnikov,,101-250,9,Early Stage Venture,"Jun 30, 2022","$ 30,00,000.00",Series B,"$ 2,40,50,000.00",Chernovetskyi Investment Group,,,,,1
SAMCO Securities,Finance,Financial Services,Mumbai,Maharashtra,SAMCO Securities aims to simplify the complex world of trading and investing in the stock markets.,400013,$1M to $10M,May-15,www.samco.in,1,Jimeet Modi,,,251-500,2,Early Stage Venture,"Apr 30, 2018","$ 75,00,000.00",Series B,"$ 1,04,47,211.00",Bay Capital,,,,,1
Gamezop,Apps,Computer,Agra,Uttar Pradesh,Gamezop is a platform where users can play games and win money without installing any app.,—,$1M to $10M,2015,www.gamezop.com/,2,Gaurav Agarwal,Yashash Agarwal,,Nov-50,2,Early Stage Venture,"Aug 23, 2020","$ 42,00,000.00",Series A,"$ 45,50,000.00",BITKRAFT Ventures,FJ Labs,Powerhouse Ventures,Velo Partners,Anand Chandrasekaran,10
UpGrad,E-Learning,EdTech,Mumbai,Maharashtra,UpGrad is an online higher education platform providing various programs.,400018,$1B to $10B,2015,upgrad.com,5,Mayank Kumar,Phalgun Kompalli,Ravijot Chugh,1001-5000,7,—,"Mar 29, 2023","₹ 3,00,00,00,000.00",Venture - Series Unknown,"$ 66,82,32,133.00",IIFL Finance,Temasek Holdings,International Finance Corporation,360 ONE Asset,Lupa Systems,16
PlaySimple Games,Casual Games,Digital Entertainment,Bangalore,Karnataka,PlaySimple Games develops a wide variety of word games that are engaging and accessible to people of all ages.,560008,$50M to $100M,Nov-14,playsimple.in,4,Preeti Reddy,Siddhanth Jain,Siddharth Jain,101-250,4,M&A,"Nov 15, 2016","$ 40,00,000.00",Series A,"$ 45,50,000.00",Google,Elevation Capital,IDG Capital,Chiratae Ventures,Google Launchpad Accelerator,6
Phi Commerce Pvt Ltd,Cryptocurrency,Financial Services,Pune,Maharashtra,"Payments Facilitator, Payments solution provider etc.",411 006,$1M to $10M,2015,www.payphi.com,4,Anil Sharma,Jose Thattil,Rajesh Londhe,Nov-50,3,Early Stage Venture,"Nov 28, 2023","₹ 83,00,00,000.00",Series A,"$ 1,47,54,157.00",BEENEXT,Opus Ventures,Yatra Angel Network,,,3
Flyrobe,Apparel,E-Commerce,Mumbai,Maharashtra,Flyrobe is an on-demand apparel rental platform that provides premium designer wear.,400086,$1M to $10M,2015,flyrobe.com/,3,Pranay Surana,Shreya Mishra,Tushar Saxena,Nov-50,5,M&A,"Jan 1, 2019",—,Venture - Series Unknown,"$ 1,07,19,261.00",Peak XV Partners,STRIVE,Kunal Bahl,InnoVen Capital,Rohit Bansal,15
Beardo.in,Consumer Goods,Cosmetics,Ahmedabad,Gujarat,Beard is an official brand manufacturer of natural ordinary oils or incompatible products to bearded man.,—,$1M to $10M,2015,www.beardo.in/,1,Priyank Shah,,,101-250,4,M&A,"Jan 16, 2018",—,Seed,"$ 85,66,698.00",Venture Catalysts,Marico,Artha Group,Apoorva Ranjan Sharma,Rajesh Mane,8
IndiQube,Commercial Real Estate,Coworking,Bengaluru,Karnataka,IndiQube is a provider of co-working spaces based in Bengaluru.,—,$10M to $50M,2015,indiqube.com/,2,Meghna Agarwal,Rishi Das,,251-500,2,Early Stage Venture,"Apr 6, 2022","$ 3,00,00,000.00",Series B,"$ 4,50,00,000.00",WestBridge Capital,Ashish Gupta,,,,2
ftcash,Apps,Banking,Mumbai,Maharashtra,ftcash empowers the underserved micro-merchanrs through financial inclusion using digital payments and loans.,400072,$1M to $10M,Jun-15,www.ftcash.com,3,Deepak Kothari,Sanjeev Chandak,Vaibhav Lodha,251-500,5,Early Stage Venture,"May 2, 2019","₹ 50,00,00,000.00",Series A,"$ 1,12,01,042.00",500 Global,Accion,IvyCap Ventures,FMO,Singapore Angel Network,6
True Elements,Food and Beverage,Snack Food,Pune,Maharashtra,"True Elements sells products spanning Western breakfast (oats, muesli, granola, flakes), Indian breakfast (poha, upma, dosa), and Snacks.",411057,$1M to $10M,"Dec 14, 2014",www.true-elements.com/,2,Puru Gupta,Sreejith Moolayil,,51-100,3,M&A,"Jan 21, 2022","$ 5,12,000.00",Seed,"$ 27,00,702.00",SIDBI Venture Capital,RP-Sanjiv Goenka Group,,,,2
Niki,Android,Natural Language Processing,Bangalore,Karnataka,Full Stack Ramu Kaka | Ushering Bharat into Internet Economy 2.0,560095,$10M to $50M,"May 4, 2015",niki.ai,—,4,",,,",https://www.crunchbase.com/person/keshav-prawasi,https://www.crunchbase.com/person/nitin-babel,https://www.crunchbase.com/person/sachin-jaiswal,https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/niki-ai,10,Early Stage Venture,https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_at/niki-ai,,"$ 62,87,653.00",",,,,",https://www.crunchbase.com/organization/letsventure,https://www.crunchbase.com/person/ramakant-sharma,https://www.crunchbase.com/organization/finsight-ventures,https://www.crunchbase.com/organization/blueworld-group
Way2news,Apps,News,Hyderabad,Andhra Pradesh,Way2News is a short Summarized News in Your Local Language.,—,$10M to $50M,2015,www.way2news.co/,1,Raju Vanapala,,,101-250,1,Early Stage Venture,"Jun 9, 2022","₹ 1,30,00,00,000.00",Series A,"₹ 1,30,00,00,000.00",Westbridge Capital,Sashi Reddi,,,,2
Haqdarshak,Finance,Financial Services,Jaipur,Rajasthan,Haqdarshak is a tech platform that connects citizens with their eligible welfare schemes.,302007,$50M to $100M,2015,www.haqdarshak.com/,3,Aniket Doegar,Asha Krishnan,PR Ganapathy,Nov-50,4,Seed,"Apr 25, 2023",—,Seed,"$ 10,97,299.00",Beyond Capital,Village Capital,Deepak Group,Acumen,Aman Gupta,21
Flexmoney,Financial Services,,Mumbai,Maharashtra,Flexmoney is to re-invent consumer credit as an instant digital service at the point of sale for lenders and merchants.,—,$1M to $10M,2015,www.flexmoney.in,1,Yezdi Lashkari,,,01-Oct,1,Early Stage Venture,"Jun 15, 2021","₹ 35,10,00,000.00",Series A,"₹ 35,10,00,000.00",Pravega Ventures,Z5 Capital,Ben Davey,Ambarish Malpani,Rishad Byramjee,6
Reloy,Information Technology,Mobile Apps,Mumbai,Maharashtra,"Reloy is a real estate loyalty and referral solutions provider based in Mumbai, Maharashtra.",—,$1M to $10M,2015,reloy.co/,1,Akhil Saraf,,,Nov-50,3,Early Stage Venture,"Jun 29, 2023","₹ 7,20,00,000.00",Series A,"₹ 13,30,00,000.00",Inflection Point Ventures,Housing Development Finance Corporation,Greenpanel Industries Limited,Dream Green Capital,Fawkes Fund,6
Veritas Finance,Finance,Financial Services,Guindy,Tamil Nadu,"Veritas Finance focuses on providing loans to meet the financial needs of micro, small, and medium-sized businesses.",600032,$1B to $10B,2015,www.veritasfin.in/,1,Arulmany Duraisamy,,,5001-10000,11,Private Equity,"Jul 5, 2023","₹ 10,50,00,00,000.00",Private Equity,"$ 32,44,43,970.00",British International Investment,International Finance Corporation,Caspian Impact Investments,Avendus Future Leaders,BlueOrchard Finance S A,15
Sweet Karam Coffee,Coffee,E-Commerce,Chennai,Tamil Nadu,"Homemade Food Store - Now Selling Across 23 Countries. 55,000+ Happy Customers. 600+ Products on Store.",—,$1M to $10M,"May 1, 2014",www.sweetkaramcoffee.in/,2,B. Venkatakrishnan,V. Jayanthi,,Nov-50,1,Seed,"Oct 30, 2023","₹ 12,50,00,000.00",Seed,"₹ 12,50,00,000.00",Fireside Ventures,,,,,1
mirrAR,Apps,Information Technology,Bangalore,Karnataka,"MirrAR is a technology platform that enables online and in-store real-time virtual try-ons of jewelry, eyewear, and watches.",560102,$1M to $10M,2015,www.mirrar.com/,1,Meghna Saraogi,,,Nov-50,2,Seed,"Nov 6, 2023","₹ 13,00,00,000.00",Seed,"₹ 23,00,00,000.00",Indian Angel Network,Dr Ritesh Malik,Rajan Anandan,Vineeta Singh,Umang Bedi,22
Property Share Online Platform,Internet,Marketplace,Bangalore,Karnataka,"Property Share enables its users to go for a unique, fractional property ownership model in a few rented properties",560034,$1M to $10M,2015,propertyshare.in/,2,Hashim Khan,Kunal Moktan,,Nov-50,3,Early Stage Venture,"Jun 27, 2022","₹ 3,67,00,00,000.00",Series B,"$ 4,87,86,609.00",Westbridge Capital,BEENEXT,Lightspeed India Partners,Pravega Ventures,Asuka Asset Management,5
Datoms,Enterprise Applications,Internet of Things,Bhubaneswar,Orissa,Datoms is an Industrial IoT Platform for OEMs and System Integrators.,751024,$1M to $10M,"May 15, 2015",datoms.io/,4,Akanksha Priyadarshini,Amiya Kumar Samantaray,Asish Sahoo,Nov-50,3,Seed,"Oct 26, 2023","₹ 10,00,00,000.00",Seed,"$ 19,55,726.00",YourNest Venture Capital,,,,,1
worxogo,Artificial Intelligence (AI),Banking,Bangalore,Karnataka,"worxogo's GenAI nudge coach builds high performing Sales, Customer service teams",—,$1M to $10M,2015,www.worxogo.com/,4,Anant Sood,Ramesh Srinivas,Ravi Bhamidipati,51-100,1,Early Stage Venture,"Oct 16, 2018","₹ 16,50,00,000.00",Series A,"₹ 16,50,00,000.00",Ideaspring Capital,Athera Venture Partners,,,,2
The Healthy Billion,Fitness,Health Care,Gurgaon,Haryana,The Healthy Billion is a clinical intelligence startup that enables healthcare using information technology.,122001,$10M to $50M,2015,www.thb.co.in,4,Akansh Khurana,Gagandeep Singh,Rajesh Pachar,101-250,3,—,"May 5, 2023","$ 2,00,00,000.00",Venture - Series Unknown,"$ 2,21,00,000.00",Blume Ventures,Fireside Ventures,Kanwaljit Singh,Cornerstone Venture Partners Fund,HealthQuad,10
Ninety One,Consumer Goods,Cycling,Mumbai,Maharashtra,Ninety One is a bicycle manufacturer and designer that offers bicycles and bike accessories.,400021,$1M to $10M,2015,www.outdoors91.com/,2,Sachin Chopra,Vishal Chopra,,101-250,4,Early Stage Venture,"Dec 21, 2021","₹ 2,25,00,00,000.00",Series A,"₹ 2,50,00,00,000.00",Titan Capital,Fireside Ventures,Alteria Capital,A91 Partners,Avaana Capital,6
Muse Wearables,Electronics,Wearables,Bangalore,Karnataka,"Muse Wearables is designing, develops, and sells wearable technology, Mobile AI services, and games.",560102,$1M to $10M,2015,in.musewearables.com,3,Prathyusha Kamarajugadda,Sai Prasanth,Yathindra Ajay,Nov-50,2,—,"Jul 28, 2020","₹ 22,00,00,000.00",Venture - Series Unknown,"₹ 28,85,00,000.00",Keiretsu Forum,Lead Angels Network,Bhaskar Rao,Rajamouli SS,,4
LYNK Logistics,Logistics,Supply Chain Management,Mylapore,Tamil Nadu,LYNK is a tech aggregator with a bold vision to redefine goods transportation,600004,$1M to $10M,2015,home.lynk.co.in,2,Abinav Raja,Shekhar Bhende,,251-500,1,M&A,"Apr 18, 2018","₹ 6,60,00,000.00",Venture - Series Unknown,"₹ 6,60,00,000.00",Ramco,,,,,1
Quintype Technologies Pvt Ltd,Analytics,CMS,Bangalore,Karnataka,"API Driven CMS that allows publishers and content creators to create rich content, distribute across platforms, and enable monetization.",560017,$1M to $10M,"Sep 16, 2014",www.quintype.com/,1,Amit Rathore,,,51-100,2,Early Stage Venture,"Sep 1, 2020","₹ 25,00,00,000.00",Series A,"$ 66,72,297.00",360 ONE Asset,Raghav Bahl,,,,2
