company,industry1,industry2,city,state,description,pin,revenue,founded date,website,number of founder,founder1,founder2,employee,funding round,funding status,last funding date,last funding amt,last funding type,total funding amt,no of investor,investor1,investor2,investor3,investor4
Udaan,B2B,E-Commerce,Bangalore,Karnataka,"Udaan is a B2B trade platform that brings manufacturers, traders, retailers, and wholesalers into a single platform.",560102,$10M to $50M,2016,udaan.com,3,Amod Malviya,Sujeet Kumar,5001-10000,15,Late Stage Venture,"Dec 14, 2023","$ 34,00,00,000.00",Series E,"$ 1,96,99,13,446.00",25,Tencent,BlackSoil,Lightspeed Venture Partners,M&G Plc
ZestIOT,Artificial Intelligence (AI),Industrial,Hyderabad,Andhra Pradesh,"ZestIOT is an IoT and AI-enabled aviation platform that integrates passenger, baggage, aircraft, ground, and airport operations.",50003,$1M to $10M,"Jan 1, 2016",www.zestiot.com,1,Amit Sukhija,,Nov-50,6,Early Stage Venture,"May 3, 2023","₹ 51,00,00,000.00",Series A,"$ 74,07,824.00",6,3one4 Capital,IvyCap Ventures,BEENEXT,Loyal VC
KrazyBee,E-Commerce,,Bangalore,Karnataka,"KrazyBee is an India-based e-commerce web app, enabling its users to order products from online retailers on different pay schemes.",560 008,$10M to $50M,"Mar 15, 2016",www.kbnbfc.in/,2,Karthikeyan Krishnaswamy,Madhusudan Ekambaram,251-500,5,Early Stage Venture,"Apr 24, 2019","₹ 1,00,00,00,000.00",Series B,"$ 2,72,64,155.00",14,Shunwei Capital,Yeahmobi,Navi Technologies,InnoVen Capital
Skillmatics,Children,Education,Mumbai,Maharashtra,Skillmatics provides education products and learning games for children in pre-school and primary school who are under the age of ten.,400001,$1M to $10M,2016,www.skillmaticsworld.com/,2,Devanshi Kejriwal,Dhvanil Sheth,101-250,3,Early Stage Venture,"Apr 28, 2022","₹ 1,21,00,00,000.00",Series B,"$ 2,32,17,916.00",4,Peak XV Partners,Smiti Holding & Trading Co.,Jalaj Dani Family Office,
Clinikk,Health Care,Health Insurance,Bengaluru,Karnataka,Clinikk is a healthcare platform that offers health insurance for patients and families.,560076,$1M to $10M,2016,www.clinikk.com,3,Bhavjot Kaur,Suraj Baliga,51-100,4,Early Stage Venture,"Jan 9, 2023","₹ 24,80,00,000.00",Series A,"$ 94,17,753.00",11,MassMutual Ventures,Times Internet,Kunal Shah,WEH Ventures
Eduvanz,Consumer Lending,Education,Mumbai,Maharashtra,"Eduvanz is a fintech company that provides loans for students, education, career, and skill development.",400 059,$10M to $50M,2016,eduvanz.com/,3,Atul Sashittal,Raheel Shah,51-100,8,Early Stage Venture,"Dec 26, 2022","₹ 1,04,50,00,000.00",Series B,"$ 5,11,43,776.00",18,Sequoia Capital,Vivriti Capital,Oxyzo,Northern Arc
FS Life,Apparel,E-Commerce,Delhi,Delhi,FS Life is a House of Brands offering apparel and lifestyle needs for modern Indian women.,—,—,Aug-16,www.fslife.co/,—,1,,https://www.crunchbase.com/search/organizations/field/organization.companies/categories/retail,https://www.crunchbase.com/organization/fireside-ventures,https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/fablestreet,3,Early Stage Venture,https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_at/fablestreet,https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_total/fablestreet,https://www.crunchbase.com/search/funding_rounds/field/organization.companies/funding_total/fablestreet,",,,,",13,https://www.crunchbase.com/person/vikram-chopra,https://www.crunchbase.com/person/ruchi-kalra-2
Nestroots,E-Commerce,Furniture,Haryana,Haryana,Nestroots is a manufacturer and seller of home decor products.,120002,—,2016,www.nestroots.com,—,,,01-Oct,4,Seed,"Dec 20, 2023","₹ 3,00,00,000.00",Pre-Seed,"$ 4,99,285.00",3,BeyondSeed,Arjun Vaidya,,
Leegality,Information Technology,Software,New Delhi,Delhi,Leegality is an e-Signing and digital document workflow platform.,110048,$1M to $10M,2016,leegality.com/,3,Prakhar Agrawal,Sapan Parekh,01-Oct,3,Early Stage Venture,"Oct 18, 2022","₹ 40,00,00,000.00",Series A,"₹ 40,00,00,000.00",5,Mumbai Angels,IIFL Securities,Kishore Ganji,Chandigarh Angels Network
AdmitKard,Analytics,Education,Noida,Uttar Pradesh,AdmitKard operates an education counseling portal that aims to make global education more accessible to students.,201301,$1M to $10M,"Nov 15, 2016",www.admitkard.com,2,Piyush Bhartiya,Rachit Agrawal,251-500,4,Early Stage Venture,"Feb 20, 2023","₹ 50,00,00,000.00",Series A,"$ 1,16,98,941.00",19,Gaurav Munjal,Kunal Shah,Varun Alagh,Suhail Sameer
Nira,Credit,Financial Services,Bangalore,Karnataka,"Nira promotes financial inclusion by creating simple, transparent products that empower individuals to live a life of choice and freedom.",—,Less than $1M,2017,www.nirafinance.com/,2,Nupur Gupta,Rohit Sen,Nov-50,5,Seed,"Feb 10, 2022","₹ 18,68,00,000.00",Seed,"$ 66,92,906.00",7,Santa Barbara Angel Alliance,Bossanova Investimentos,Collective Ventures,JB Ventures
Increff,Artificial Intelligence (AI),Computer,Bangalore,Karnataka,Increff helps retail & e-commerce brands in turning supply chain complexities into simplicity with tech-driven retail SaaS solutions.,560102,$50M to $100M,2016,www.increff.com/,4,Anshuman Agarwal,Nirmal Jain,251-500,3,Early Stage Venture,"Feb 20, 2022","$ 1,20,00,000.00",Series B,"$ 1,70,00,000.00",9,PremjiInvest,021 Capital,Binny Bansal,TVS Capital Funds
EnKash,B2B,Credit Cards,Mumbai,Maharashtra,EnKash is comprehensive business spend management & cards platform that helps in optimizing their cashflows and spending.,400079,$100M to $500M,2017,www.enkash.com/,3,Hemant Vishnoi,Naveen Bindal,101-250,2,Early Stage Venture,"Apr 4, 2022","$ 2,00,00,000.00",Series B,"$ 2,30,00,000.00",5,Mayfield Fund,Ascent Capital,White Venture Capital,Baring Private Equity India
Marquee Equity,Crowdfunding,Financial Services,Noida,Uttar Pradesh,Marquee Equity acts as a bridge between businesses and investors or venture capitalists.,201301,$1M to $10M,2016,marquee-equity.com,2,Ash Narain,Raj Kabir,101-250,1,—,"Feb 16, 2021","$ 38,00,000.00",Venture - Series Unknown,"$ 38,00,000.00",—,,,,
Healofy,Child Care,E-Commerce,Bangalore,Karnataka,Healofy is an Indian parenting social network that provides pregnancy and childcare products.,—,$10M to $50M,"Aug 1, 2016",healofy.com/,2,Gaurav Aggarwal,Shubham Maheshwari,51-100,7,Early Stage Venture,"Oct 26, 2021","$ 65,00,000.00",Series B,"$ 1,86,40,000.00",17,Meta,Venture Catalysts,Omidyar Network,Stride Ventures
Medulance,GPS,Medical,New Delhi,Delhi,Medulance is a GPS based technology platform for fast and reliable first point medical attention.,—,$1M to $10M,"Jan 1, 2016",www.medulance.com/,3,Pranav Bajaj,Prerit Mittal,01-Oct,1,Seed,"Feb 17, 2023","₹ 2,00,00,000.00",Seed,"₹ 2,00,00,000.00",3,Peyush Bansal,Namita Thapar,,
Intello Labs,AgTech,Artificial Intelligence (AI),Haryana,Haryana,Intello Labs uses image matching and machine learning to measure the quality of crops.,122018,$10M to $50M,2016,www.intellolabs.com,2,Devendra Chandani,Milan Sharma,51-100,9,Early Stage Venture,"Dec 8, 2022","$ 28,20,000.00",Series B,"$ 1,65,13,800.00",11,Omnivore,Nexus Venture Partners,SVG Ventures,Avaana Capital
Groww,Financial Services,FinTech,Bengaluru,Karnataka,Groww is an investment platform that offers a new way of investing money with stockbroking and direct mutual funds.,560035,$100M to $500M,2016,groww.in/,4,Harsh Jain,Ishan Bansal Dean,501-1000,6,Late Stage Venture,"Oct 24, 2021","$ 25,10,00,000.00",Series E,"$ 39,32,62,674.00",19,Tiger Global Management,ICONIQ Growth,Insignia Ventures Partners,Peak XV Partners
ePaylater,Customer Service,E-Commerce,Mumbai,Maharashtra,ePaylater gives customers the option to ‘buy now and pay later’ on online portals with just one click.,—,$1M to $10M,"Dec 15, 2015",www.epaylater.in,5,Akshat Saxena,Aurko Bhattacharya,51-100,5,—,"Sep 20, 2021","$ 1,00,00,000.00",Venture - Series Unknown,"$ 1,57,48,104.00",6,responsAbility Investments,Pravega Ventures,Secocha Ventures,Blue Ashva Capital
Smartworks,Commercial Real Estate,Coworking,Noida,Uttar Pradesh,Smartworks is India’s largest Enterprise-focused managed workspace platform with a footprint of ~7 Mn Sq. ft across 37 location & 11 cities,201301,$10M to $50M,"Apr 1, 2016",smartworksoffice.com/,,,,,,,,,,,,,,,
tech-enabled office solutions,tailor-made facilities and unparalleled hospitality. It prides itself on providing enterprises,change,—,—,",",,,,,"$ 2,50,00,000.00",https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_type/smartworks,https://www.crunchbase.com/search/funding_rounds/field/organization.companies/funding_total/smartworks,,https://www.crunchbase.com/search/principal.investors/field/organization.companies/num_lead_investors/smartworks,,,,,,,,,,
StackBOX,B2B,E-Commerce,Bengaluru,Karnataka,StackBOX is a technology company that provides B2B distribution services to grocery stores.,—,$1M to $10M,2016,www.stackbox.xyz/,2,Sabyasachi Bhattacharjee,Shanmukha Boora,51-100,3,—,"Aug 3, 2021","₹ 8,90,00,000.00",Venture - Series Unknown,"₹ 12,11,00,000.00",5,Ecosystem Ventures,CMM Group,Touchstone Ventures,Touchstone Equities
Unnati,Agriculture,AgTech,Noida,Uttar Pradesh,"Unnati is a fintech-based agri platform that offers banking, supplies agri-inputs, and provides Agronomy services for farmers.",201301,$1M to $10M,2017,unnati.ag/,2,Amit Sinha,Ashok Prasad,101-250,4,Early Stage Venture,"Jun 14, 2023","₹ 28,50,00,000.00",Series B,"₹ 88,50,00,000.00",7,Orios Venture Partners,Gemba Capital,Nabventures,NAB Ventures
Bakingo,Bakery,Confectionery,Gurgaon,Haryana,"Bakingo is a bakery shop in Gurgaon (Haryana, India) where you can order cakes, cookies and other bakery items online for all occasions.",—,$1M to $10M,2016,www.bakingo.com,3,Himanshu Chawla,Shrey Sehgal,01-Oct,1,Private Equity,"Nov 10, 2023","$ 1,60,00,000.00",Private Equity,"$ 1,60,00,000.00",1,,,,
Adonmo,Advertising,Digital Signage,Hyderabad,Andhra Pradesh,"Adonmo specialises in OOH digital advertising, enabling targeted ads at relevant localities using Hyperlocal Intelligence & patented tech",500032,Less than $1M,"Jul 12, 2016",www.adonmo.com,2,Sandeep Bommireddi,Sravanth Gajula,251-500,7,—,"Feb 16, 2022",—,Venture - Series Unknown,"$ 1,83,02,400.00",11,9Unicorns Accelerator Fund,Mumbai Angels,BAce Capital,Anupam Mittal
The ePlane Company,Aerospace,Automotive,Chennai,Tamil Nadu,Transforming the Urban Air Mobility landscape by building India's 1st & the world's most compact flying electric taxi for 10x faster commute,600036,$1M to $10M,2017,www.eplane.ai,2,Pranjal Mehta,Satyanarayanan Chakravarthy,51-100,2,Seed,"Jan 10, 2022","₹ 37,00,00,000.00",Seed,"$ 59,96,182.00",14,Info Edge ventures,3one4 Capital,First Cheque,UTEC - The University of Tokyo Edge Capital Partners
Coding Ninjas,E-Learning,EdTech,New Delhi,Delhi,Coding Ninjas is an e-learning platform that offers coding and other programming courses for students and professionals.,110034,Less than $1M,"May 18, 2016",www.codingninjas.com,5,Ankush Singla,Arpan Garg,1001-5000,1,M&A,"Feb 11, 2020","$ 52,10,000.00",Series A,"$ 52,10,000.00",—,,,,
Uravu Labs,Energy,Renewable Energy,Bangalore,Karnataka,Uravu Labs developed renewable water technology with inexhaustible atmospheric moisture and renewable energy to produce drinking water.,—,$1M to $10M,2017,www.uravulabs.com/,,,,,,,,,,,,,,,
100% renewable water technology,"Karnataka.\"",—,https://www.crunchbase.com/search/people/field/organization.companies/num_founders/uruvu-labs,Govinda Balaji,Swapnil Shrivastav,https://www.crunchbase.com/search/organizations/field/organization.companies/categories/water,Vestas,11-50,https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/uruvu-labs,https://www.crunchbase.com/search/funding_rounds/field/organization.companies/funding_total/uruvu-labs,10,https://www.crunchbase.com/organization/venturecatalysts,,,,,,,,,,,,
WishCare,Beauty,Cosmetics,Kolkata,West Bengal,WishCare is a manufacturer and online retailer of a variety of beauty kits", hair, skincare, body care," and wellness products.""",700002,$1M to $10M,2017,www.mywishcare.com,3,Ankit Kothari,Ayush Kothari,Nov-50,1,Early Stage Venture,"Nov 8, 2023","₹ 20,00,00,000.00",Series A,"₹ 20,00,00,000.00",1,,,,
Settlin,Marketing,Real Estate,Bengaluru,Karnataka,"Settlin is a one-stop platform for end-to-end real estate transactions, particularly in resale.",560034,$1M to $10M,2016,settlin.in/,2,Ashish Srivastav,Sudhanshu B,101-250,5,Seed,"Nov 15, 2023",—,Seed,"₹ 10,70,00,000.00",12,Axilor Ventures,GSF,Powerhouse Ventures,Rajesh Sawhney
AmpIn Energy Transition (Formerly Amp Energy India),Energy,Renewable Energy,New Delhi,Delhi,"Amp Energy India develops, builds, owns and operates renewable energy power plants delivering power to both C&I and Utility customers.",110017,$1M to $10M,"Jun 7, 2016",ampin.energy,—,,,101-250,5,—,"May 31, 2023","$ 25,00,00,000.00",Venture - Series Unknown,"$ 46,00,27,830.00",6,SMBC Venture Capital,Copenhagen Infrastructure Partners,Sumitomo Mitsui Banking Corporation,Intermediate Capital Group
OZiva,Dietary Supplements,Fitness,Mumbai,Maharashtra,"OZiva is a plant-based clean nutrition brand that offers fitness, hair, skin, men's health, women's health, and general wellness products.",400093,$1M to $10M,2016,www.oziva.in,2,Aarti Gill,Mihir Gadani,51-100,2,M&A,"Mar 17, 2021","$ 1,20,00,000.00",Series B,"$ 1,70,00,000.00",4,F-Prime Capital,Matrix Partners India,Eight Roads Ventures India,
DeepTek,Artificial Intelligence (AI),Health Care,Pune,Maharashtra,The company employs people with strong and deep knowledge in Information Technology.,19958,$10M to $50M,2017,www.deeptek.ai/,the radiologists will have it all on a platter. Deeptek's offerings will change your workstations and mobile devices to dependable analytical tools,—,—,,,,Tata Capital,51-100,3,Early Stage Venture,https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_total/deeptek,Series A,"₹ 77,00,00,000.00",",,,,",5
Chqbook,Banking,Big Data,FinTech,Lending,"Chqbook is a fintech startup that allows customers to explore, compare, book, and get personal finance products.",122011,$1M to $10M,2017,www.chqbook.com,4,India,Asia-Pacific (APAC),251-500,4,Early Stage Venture,"Sep 23, 2021","₹ 40,00,00,000.00",Series B,"$ 1,14,17,107.00",13,Kishore Ganji,YWC Venture Capital,Earlsfield Capital,
Zouk,E-Commerce,Fashion,Mumbai,Maharashtra,Zouk is an online shopping platform that offers fashion and lifestyle products for men and women.,400017,$1M to $10M,"Jun 14, 2016",www.zouk.co.in,2,Disha Singh,Pradeep Krishnakumar,01-Oct,3,Early Stage Venture,"Mar 16, 2023","$ 30,00,000.00",Series A,"$ 45,78,443.00",13,Sharrp Ventures,Stellaris Venture Partners,Vineeta Singh,Varun Alagh
Vogo,Rental,Sharing Economy,Kormangala,Karnataka,Vogo offers transportation solutions in the form of self-driven rental scooters and cars.,560034,$10M to $50M,2016,www.vogo.in,3,Anand Ayyadurai,Balakrishnan Padmanabhan,251-500,13,M&A,"Feb 18, 2021","$ 1,15,00,000.00",Series C,"$ 19,10,33,177.00",21,Matrix Partners India,Lightrock,Alteria Capital,Navi Technologies
WeWork India,Office Supplies,Rental,Bengaluru,Karnataka,WeWork India is a commercial real estate company.,—,$1M to $10M,2017,www.wework.co.in/,1,Karan Virwani,,101-250,4,Private Equity,"Dec 26, 2022","₹ 5,50,00,00,000.00",Private Equity,"₹ 20,00,00,00,000.00",2,BPEA EQT,,,
Quickwork,Artificial Intelligence (AI),Data Integration,Mumbai,Maharashtra,"The #1 integration platform chosen by developers and enterprises to build workflows, publish APIs and manage conversations.",400057,$1M to $10M,"Oct 19, 2015",www.quickwork.co,4,Deepak Arjan Bhatia,Dr Milind R Agarwal,Nov-50,2,Seed,"Nov 8, 2023","₹ 21,00,00,000.00",Seed,"$ 45,23,464.00",2,DMI AIF Sparkle Fund,,,
Pesto Tech,Education,Higher Education,New Delhi,Delhi,Become a Remote developer with no upfront fee - We train & upskill developers to match silicon valley standards - Apply today,—,$1M to $10M,2017,pesto.tech/,3,Andrew Linfoot,Ayush Jaiswal,Nov-50,4,Seed,"Jun 28, 2021","$ 20,00,000.00",Seed,"$ 80,00,000.00",20,Matrix Partners India,GTMfund,Zillionize,Spacecadet Ventures
Medfin India,Health Care,Health Diagnostics,Bangalore,Karnataka,Medfin is a discovery platform for medical processes and financing that helps patients to access surgical treatment procedures.,560040,$1M to $10M,2017,www.medfin.in/,3,Arjun Kumar,Arun Kumar,101-250,2,Early Stage Venture,"Apr 11, 2022","$ 1,50,00,000.00",Series B,"$ 1,60,84,522.00",8,Axilor Ventures,Sony Innovation Fund,Kotak Investment Advisors,HealthXCapital
Apollo Pharmacy,E-Commerce,Health Care,Chennai,Tamil Nadu,Apollo Pharmacy is an e-commerce company for pharmaceutical products.,—,$1M to $10M,"Jan 1, 2016",www.apollopharmacy.in/,1,Prathap Chandra Reddy,,251-500,1,—,"Dec 19, 2018","₹ 5,27,80,00,000.00",Venture - Series Unknown,"₹ 5,27,80,00,000.00",3,Arpwood Capital,Hemendra Kothari,,
Board Infinity,Career Planning,Education,Mumbai,Maharashtra,Board Infinity is a full-stack career platform for students and job seekers.,—,$1M to $10M,2017,www.boardinfinity.com/,2,Abhay Gupta,Sumesh Nair,101-250,3,Seed,"Jan 1, 2021",—,Seed,"₹ 22,00,00,000.00",10,Keiretsu Forum,ANME,Sreeraman Mohan Girija,Ambarish Raghuvanshi
Verloop.io,Customer Service,Information Technology,Bangalore,Karnataka,Verloop.io is the world's leading customer support automation platform.,560071,$1M to $10M,"Oct 1, 2016",verloop.io,1,Gaurav Singh,,51-100,3,Early Stage Venture,"Aug 25, 2020","$ 50,00,000.00",Series A,"$ 80,00,000.00",9,Anand Chandrasekaran,Growth Story,Mohandas Pai,Kris Gopalakrishnan
Oye Rickshaw,Electric Vehicle,Last Mile Transportation,New Delhi,Delhi,Oye Rickshaw is an electric vehicle energy solutions company that connects people with public transportation using a booking app.,—,$10M to $50M,2017,www.oyerickshaw.com,2,Akash Deep,Mohit Sharma,101-250,4,Early Stage Venture,"Jun 22, 2022",—,Series A,"$ 1,32,75,120.00",12,Matrix Partners India,Alteria Capital,Kunal Bahl,Rohit Bansal
QNu Labs,Computer,Network Security,Bengaluru,Karnataka,QNu Labs is a cybersecurity technology firm that provides secure communication in the era of quantum computing.,2138,$1M to $10M,2016,qnulabs.com,4,Anil Prabhakar,Mark Mathias,101-250,2,Seed,"Dec 15, 2023","$ 65,00,000.00",Seed,"$ 65,00,000.00",3,Lucky Investment Managers,WAOO Partners,,
Ossus Biorenewables,Clean Energy,Renewable Energy,Bengaluru,Karnataka,Ossus Biorenewables design intelligent electroactive microbial communities.,560029,$1M to $10M,2017,www.ossusbio.com/,—,,,Nov-50,1,Seed,"Apr 5, 2023","₹ 19,70,00,000.00",Seed,"₹ 19,70,00,000.00",2,Rainmatter Foundation,,,
