Company,Funding Round,Amount,Date,RupeesAmount,dollarAmt,CID
Jhana,Non-equity Assistance,—,"Feb 16, 2024",0,0,CID327
Astuto Technologies,Pre-Seed,—,"Feb 26, 2024",0,0,CID328
Urban Matrix,Seed,"₹60,000,000","Oct 26, 2023",60000000,720000,CID329
Lissun,Seed,"₹107,000,000","Sep 4, 2023",107000000,1284000,CID330
wizr.ai,Seed,"$500,000","Jan 29, 2024",37500000,450000,CID331
Vivifi India,Debt Financing,"$60,000,000","Jan 24, 2024",4500000000,54000000,CID332
FlexifyMe,Seed,"$1,000,000","Sep 25, 2023",75000000,900000,CID333
Air India,Debt Financing,"₹9,970,000,000","Dec 20, 2023",9970000000,119640000,CID334
Bookingjini,Seed,—,"Jan 25, 2024",0,0,CID335
Happy Nature,Seed,"$300,000","Nov 16, 2023",22500000,270000,CID336
Earthful,Pre-Seed,"₹33,000,000","Jan 26, 2024",33000000,396000,CID337
KiVi,Seed,"₹150,000,000","Oct 12, 2023",150000000,1800000,CID338
PlanckDOT,Seed,"$1,600,000","Feb 12, 2024",120000000,1440000,CID339
Peptris Technologies,Pre-Seed,"$1,000,000","Dec 19, 2023",75000000,900000,CID340
keen technologies,Venture - Series Unknown,"$20,000,000","Aug 20, 2022",1500000000,18000000,CID341
abCoffee,Seed,"$2,000,000","Sep 25, 2023",150000000,1800000,CID342
Credright,Venture - Series Unknown,"₹780,000,000","Aug 31, 2023",780000000,9360000,CID343
QNu Labs,Seed,"$6,500,000","Dec 15, 2023",487500000,5850000,CID344
Groyyo,Debt Financing,"₹400,000,000","Jan 18, 2024",400000000,4800000,CID345
Nimble Vision,Non-equity Assistance,—,"Feb 1, 2024",0,0,CID346
Aumsat Technologies,Non-equity Assistance,—,"Feb 1, 2024",0,0,CID347
Biofilm Engineers,Non-equity Assistance,—,"Feb 1, 2024",0,0,CID348
Simyog Technology,Seed,"₹200,000,000","Dec 14, 2023",200000000,2400000,CID349
Manastu Space,Seed,"$3,000,000","Oct 26, 2023",225000000,2700000,CID350
StockGro,Debt Financing,"₹2,050,000,000","Jan 17, 2024",2050000000,24600000,CID351
Snitch,Series A,"₹1,100,000,000","Dec 13, 2023",1100000000,13200000,CID352
Bizongo,Series E,"₹4,161,000,000","Oct 4, 2023",4161000000,49932000,CID353
Scimplifi,Seed,"₹306,000,000","Dec 7, 2023",306000000,3672000,CID354
DPDzero,Seed,"₹275,000,000","Oct 4, 2023",275000000,3300000,CID355
Mykare Health,Seed,"$2,000,000","Jun 15, 2023",150000000,1800000,CID356
Blue Tokai Coffee Roasters,Series B,—,"Sep 15, 2023",0,0,CID357
DGV,Series A,"₹500,000,000","Dec 5, 2023",500000000,6000000,CID358
esportsXO,Seed,—,"Dec 5, 2023",0,0,CID359
Moneyboxx Finance,Post-IPO Equity,"₹750,000,000","Nov 10, 2023",750000000,9000000,CID360
PhyFarm,Non-equity Assistance,—,"Feb 1, 2024",0,0,CID361
Watsan Envirotech,Non-equity Assistance,—,"Feb 1, 2024",0,0,CID362
Hydrotec Solutions,Non-equity Assistance,—,"Feb 1, 2024",0,0,CID363
OneCard,Debt Financing,"₹950,000,000","Jan 4, 2024",950000000,11400000,CID364
Slurrp Farm,Series C,"₹599,000,000","Jan 8, 2024",599000000,7188000,CID365
Zetwerk,Series F,"₹9,670,000,000","Oct 18, 2023",9670000000,116040000,CID366
Bimaplan,Seed,"$3,500,000","Nov 7, 2023",262500000,3150000,CID367
OnFinance AI,Non-equity Assistance,—,"Feb 16, 2024",0,0,CID368
Beatoven.ai,Non-equity Assistance,—,"Feb 16, 2024",0,0,CID369
Expertia.AI,Non-equity Assistance,—,"Feb 16, 2024",0,0,CID370
HYRGPT,Non-equity Assistance,—,"Feb 16, 2024",0,0,CID371
LivNSense Technologies,Seed,"$2,750,000","Dec 27, 2023",206250000,2475000,CID372
Redwing,Seed,—,"Nov 21, 2023",0,0,CID373
Xpressbees,Series G,"$80,000,000","Nov 6, 2023",6000000000,72000000,CID374
Freyr Energy,Series B,"₹580,000,000","Oct 16, 2023",580000000,6960000,CID375
D-Nome,Seed,"$1,500,000","Jan 21, 2023",112500000,1350000,CID376
SalarySe,Seed,"₹437,100,000","Jan 2, 2024",437100000,5245200,CID377
VST Industries,Post-IPO Secondary,"₹1,518,400,000","Jan 2, 2024",1518400000,18220800,CID378
EKA Mobility,Corporate Round,—,"Dec 27, 2023",0,0,CID379
DIAL4242,Seed,"₹10,000,000","Sep 25, 2023",10000000,120000,CID380
Aditya Birla Capital,Post-IPO Debt,"₹10,000,000,000","Sep 25, 2023",10000000000,120000000,CID381
EMotorad,Debt Financing,"₹200,000,000","Nov 26, 2023",200000000,2400000,CID382
Star Health and Allied Insurance,Private Equity,"₹3,217,000,000","Nov 30, 2021",3217000000,38604000,CID383
Reliance Retail,Private Equity,"₹20,695,000,000","Sep 11, 2023",20695000000,248340000,CID384
Conscious Chemist,Convertible Note,—,"Nov 22, 2023",0,0,CID385
MediBuddy,Venture - Series Unknown,"$18,000,000","Aug 30, 2023",1350000000,16200000,CID386
Vaibhav Jewellers,Funding Round,"₹810,000,000","Sep 21, 2023",810000000,9720000,CID387
Sweet Karam Coffee,Seed,"₹125,000,000","Oct 30, 2023",125000000,1500000,CID388
Happie Curves,Angel,"₹2,000,000","Nov 17, 2023",2000000,24000,CID389
Muthoot Fincorp Limited,Debt Financing,"₹2,000,000,000","Dec 26, 2023",2000000000,24000000,CID390
U Gro Capital,Post-IPO Debt,"₹2,500,000,000","Dec 19, 2023",2500000000,30000000,CID391
MetaShot,Pre-Seed,"$400,000","Aug 10, 2023",30000000,360000,CID392
Yulu,Series B,"₹6,530,000,000","Sep 12, 2022",6530000000,78360000,CID393
DevX,Debt Financing,—,"Feb 5, 2024",0,0,CID394
TravelBoutiqueOnline,Secondary Market,—,"Oct 21, 2023",0,0,CID395
Quest Global Manufacturing,Private Equity,"₹4,480,000,000","Oct 30, 2023",4480000000,53760000,CID396
Skyroot Aerospace,Series C,"₹2,250,000,000","Oct 30, 2023",2250000000,27000000,CID397
Petmojo,Seed,"$450,000","Jun 30, 2023",33750000,405000,CID398
Advance Mobility,Seed,"$2,000,000","Feb 7, 2024",150000000,1800000,CID399
HDFC Bank,Post-IPO Debt,"$750,000,000","Feb 7, 2024",56250000000,675000000,CID400
Altitude Club,Pre-Seed,"$500,000","Oct 4, 2023",37500000,450000,CID401
Stable Money,Seed,"$5,000,000","Feb 13, 2023",375000000,4500000,CID402
Furlenco,Corporate Round,"₹3,000,000,000","Jul 17, 2023",3000000000,36000000,CID403
Nestroots,Pre-Seed,"₹30,000,000","Dec 20, 2023",30000000,360000,CID404
Peping,Seed,"$400,000","Sep 20, 2023",30000000,360000,CID405
Pikndel,Pre-Seed,"$285,000","Jun 24, 2023",21375000,256500,CID406
Teleport,Pre-Seed,"$500,000","Aug 17, 2023",37500000,450000,CID407
Evolve,Seed,"₹25,000,000","Dec 19, 2023",25000000,300000,CID408
Pirimid Fintech,Corporate Round,"₹250,000,000","Dec 14, 2023",250000000,3000000,CID409
Qube Health,Seed,"₹250,000,000","Sep 18, 2023",250000000,3000000,CID410
Twyn,Seed,"$1,250,000","Nov 30, 2023",93750000,1125000,CID411
GoodGudi,Seed,—,"Sep 4, 2023",0,0,CID412
Shaktimaan,Seed,"₹165,000,000","Aug 11, 2023",165000000,1980000,CID413
Offee,Seed,"₹52,500,000","Nov 8, 2023",52500000,630000,CID414
Fuselage Innovations,Seed,"₹3,000,000","Nov 5, 2023",3000000,36000,CID415
Fabits,Pre-Seed,—,"Jan 23, 2024",0,0,CID416
SuperBottoms,Series A,"$5,000,000","Aug 23, 2023",375000000,4500000,CID417
Grihashakti,Debt Financing,"₹3,000,000,000","Jan 23, 2024",3000000000,36000000,CID418
Fruitfal,Seed,—,"Oct 30, 2023",0,0,CID419
Bull Agritech,Pre-Seed,"₹8,000,000","Nov 1, 2023",8000000,96000,CID420
OpiGo,Pre-Seed,"₹14,000,000","Jan 23, 2024",14000000,168000,CID421
Agilitas,Venture - Series Unknown,"₹1,000,000,000","Dec 13, 2023",1000000000,12000000,CID422
Neo Asset Management,Venture - Series Unknown,"₹3,000,000,000","Oct 18, 2023",3000000000,36000000,CID423
Alwrite,Seed,"₹100,000,000","Oct 18, 2023",100000000,1200000,CID424
Sahaj Gaming,Pre-Seed,"$350,000","Jan 18, 2024",26250000,315000,CID425
BharatPe,Debt Financing,"$100,000,000","Jan 20, 2024",7500000000,90000000,CID426
Ergos,Series A,"₹810,000,000","Feb 8, 2021",810000000,9720000,CID427
oorja.energy,Seed,"$1,500,000","Sep 27, 2023",112500000,1350000,CID428
RP tech India,Venture - Series Unknown,"₹1,500,000,000","Jan 19, 2024",1500000000,18000000,CID429
Healspan,Pre-Seed,"₹12,000,000","Jan 18, 2024",12000000,144000,CID430
QuriousBit,Seed,"₹166,400,000","Sep 27, 2023",166400000,1996800,CID431
PierSight Space,Pre-Seed,"$600,000","Sep 27, 2023",45000000,540000,CID432
360 ONE Wealth,Private Equity,—,"Mar 31, 2022",0,0,CID433
Fullerton India,Debt Financing,"₹6,000,000,000","Jan 10, 2024",6000000000,72000000,CID434
Everest Fleet,Debt Financing,"₹1,000,000,000","Jan 10, 2024",1000000000,12000000,CID435
The Divine Foods,Angel,—,"Oct 12, 2023",0,0,CID436
BON V Aero,Venture - Series Unknown,"₹60,000,000","Jan 18, 2024",60000000,720000,CID437
Quickwork,Seed,"₹210,000,000","Nov 8, 2023",210000000,2520000,CID438
CoreEL,Series A,"₹1,340,000,000","Dec 5, 2023",1340000000,16080000,CID439
Apex Kidney Care,Private Equity,"$10,000,000","Oct 11, 2023",750000000,9000000,CID440
Vivriti Capital,Debt Financing,"₹2,500,000,000","Dec 12, 2023",2500000000,30000000,CID441
Adya,Seed,"₹105,000,000","Jan 16, 2024",105000000,1260000,CID442
The Sleep Company,Series C,"₹1,840,000,000","Dec 6, 2023",1840000000,22080000,CID443
HeyoPhone,Angel,"₹41,300,000","Aug 28, 2023",41300000,495600,CID444
Emoha Elder Care,Series B,"$11,000,000","Oct 13, 2023",825000000,9900000,CID445
One97 Communications,Post-IPO Secondary,"₹20,370,000,000","Aug 28, 2023",20370000000,244440000,CID446
Oorjaa,Seed,"$650,000","Oct 12, 2023",48750000,585000,CID447
Financekaart,Venture - Series Unknown,—,"Jul 28, 2023",0,0,CID448
Oro,Venture - Series Unknown,"₹1,050,000,000","Oct 12, 2023",1050000000,12600000,CID449
Akshayakalpa,Series C,"₹1,000,000,000","Jan 10, 2024",1000000000,12000000,CID450
Lavie,Venture - Series Unknown,"₹750,000,000","Oct 11, 2023",750000000,9000000,CID451
UNIREC,Seed,"₹15,000,000","Jan 8, 2024",15000000,180000,CID452
InCruiter,Debt Financing,"₹11,000,000","Jan 8, 2024",11000000,132000,CID453
Wow! Momo,Series D,"₹750,000,000","Oct 25, 2023",750000000,9000000,CID454
Crib,Seed,"₹150,000,000","Jun 21, 2023",150000000,1800000,CID455
Freakins,Seed,"₹330,000,000","Jul 5, 2023",330000000,3960000,CID456
AuditCue,Seed,"₹120,000,000","Oct 10, 2023",120000000,1440000,CID457
Roopya,Seed,"₹50,900,000","Jun 24, 2023",50900000,610800,CID458
Klassroom Edutech,Venture - Series Unknown,"$450,000","Oct 31, 2023",33750000,405000,CID459
InMobi,Debt Financing,—,"Jan 1, 2014",0,0,CID460
Reliance Retail,Private Equity,"₹82,780,000,000","Aug 23, 2023",82780000000,993360000,CID461
Clensta,Venture - Series Unknown,"₹750,000,000","Jul 10, 2023",750000000,9000000,CID462
Techmaghi,Seed,"₹2,000,000","Oct 28, 2023",2000000,24000,CID463
Medway Hospitals,Venture - Series Unknown,"₹416,000,000","Jan 4, 2024",416000000,4992000,CID464
Ati Motors,Series A,"₹890,000,000","Jul 21, 2023",890000000,10680000,CID465
Tagda Raho,Angel,—,"Nov 23, 2023",0,0,CID466
VRO Hospitality,Debt Financing,—,"Jan 2, 2024",0,0,CID467
Alok Industries,Post-IPO Equity,"₹33,000,000,000","Jan 2, 2024",33000000000,396000000,CID468
Trential,Seed,"$2,000,000","Jul 26, 2023",150000000,1800000,CID469
Aham Housing Finance,Venture - Series Unknown,"₹300,000,000","Nov 2, 2023",300000000,3600000,CID470
ProjectX.Cloud,Seed,"₹17,000,000","Dec 29, 2023",17000000,204000,CID471
Sploot,Seed,"₹66,000,000","Sep 4, 2023",66000000,792000,CID472
CyberPeace Foundation,Grant,"₹330,000,000","Oct 21, 2023",330000000,3960000,CID473
Pushp Brand,Venture - Series Unknown,"₹1,000,000,000","Dec 28, 2023",1000000000,12000000,CID474
Voosh Software technologies,Pre-Seed,—,"Dec 22, 2020",0,0,CID475
JK Tyre & Industries,Post-IPO Equity,"₹5,000,000,000","Jan 1, 2024",5000000000,60000000,CID476
Entitled Solutions,Seed,"₹108,000,000","Dec 27, 2023",108000000,1296000,CID477
The Cube Club,Seed,"₹91,000,000","Oct 3, 2023",91000000,1092000,CID478
Unipe,Pre-Seed,"$2,000,000","Aug 20, 2022",150000000,1800000,CID479
Blubirch,Series A,"₹530,000,000","Oct 25, 2023",530000000,6360000,CID480
Raptee Energy,Grant,"₹32,700,000","Apr 6, 2023",32700000,392400,CID481
SINSA Seoul Cafe,Non-equity Assistance,—,"Dec 11, 2023",0,0,CID482
Navana Tech,Non-equity Assistance,—,"Dec 27, 2021",0,0,CID483
Wakaw.live,Non-equity Assistance,—,"Dec 27, 2021",0,0,CID484
Farmonaut Technologies Private Limited,Non-equity Assistance,—,"Dec 27, 2021",0,0,CID485
Janitri,Non-equity Assistance,—,"Dec 27, 2021",0,0,CID486
Atom360,Non-equity Assistance,—,"Dec 27, 2021",0,0,CID487
iBoson Innovations,Non-equity Assistance,—,"Dec 27, 2021",0,0,CID488
MERAQUI,Non-equity Assistance,—,"Jan 1, 2022",0,0,CID489
Vitra.ai,Non-equity Assistance,—,"Jan 1, 2022",0,0,CID490
Swaasa,Non-equity Assistance,—,"Jan 1, 2022",0,0,CID491
Skyware,Non-equity Assistance,—,"Jan 1, 2022",0,0,CID492
All Is Well,Seed,"₹20,700,000","Aug 9, 2023",20700000,248400,CID493
Vidcare Innovations,Non-equity Assistance,—,"Dec 27, 2021",0,0,CID494
Rapid,Pre-Seed,"₹22,000,000","Oct 25, 2023",22000000,264000,CID495
Waaree,Venture - Series Unknown,"₹10,000,000,000","Aug 2, 2023",10000000000,120000000,CID496
SkinQ,Seed,"₹30,000,000","Dec 28, 2023",30000000,360000,CID497
Niroggyan,Non-equity Assistance,—,"Dec 27, 2021",0,0,CID498
Cloud TV,Non-equity Assistance,—,"Jan 1, 2022",0,0,CID499
Ecoil,Venture - Series Unknown,"₹30,000,000","Dec 27, 2023",30000000,360000,CID500
TestnTrack - Mobile Based Assessment Platform,Pre-Seed,—,"Dec 26, 2023",0,0,CID501
Credright,Debt Financing,—,"Aug 31, 2023",0,0,CID502
Enrico,Pre-Seed,"₹21,000,000","Dec 21, 2023",21000000,252000,CID503
Urja Mobility,Corporate Round,—,"Dec 22, 2023",0,0,CID504
OneStack,Series A,"$2,000,000","Jul 12, 2023",150000000,1800000,CID505
Axiom Ayurveda,Corporate Round,—,"Sep 28, 2023",0,0,CID506
ETO Mobility Services Private Limited,Grant,"₹124,500,000","Dec 22, 2023",124500000,1494000,CID507
Bidso,Pre-Seed,"$300,000","Aug 8, 2023",22500000,270000,CID508
Amazon Seller Services,Corporate Round,"₹8,300,000,000","Feb 11, 2024",8300000000,99600000,CID509
NiYO Solutions,Venture - Series Unknown,—,"Oct 20, 2023",0,0,CID510
HiWi,Pre-Seed,"₹72,500,000","Oct 19, 2023",72500000,870000,CID511
Mestastop Solutions,Seed,"₹45,000,000","Oct 19, 2023",45000000,540000,CID512
Hearzap,Series A,"₹500,000,000","Nov 8, 2023",500000000,6000000,CID513
Go Zero,Seed,"$1,000,000","Aug 8, 2023",75000000,900000,CID514
branchX,Seed,"₹75,000,000","Nov 8, 2023",75000000,900000,CID515
BYJU'S,Debt Financing,"$250,000,000","May 13, 2023",18750000000,225000000,CID516
Max Financial Services,Post-IPO Secondary,"₹9,820,000,000","Aug 24, 2023",9820000000,117840000,CID517
Up,Seed,"₹340,000,000","Feb 8, 2024",340000000,4080000,CID518
Monitra Healthcare,Seed,"$1,500,000","Dec 19, 2023",112500000,1350000,CID519
ControlZ,Debt Financing,—,"Feb 7, 2024",0,0,CID520
S H Kelkar and Company Limited,Grant,"$50,000","Nov 4, 2023",3750000,45000,CID521
Jagatjit Industries,Post-IPO Debt,"₹1,800,000,000","Oct 17, 2023",1800000000,21600000,CID522
Vioma Lifesciences Pvt. Ltd,Series A,"$3,000,000","Nov 1, 2023",225000000,2700000,CID523
RevFin,Venture - Series Unknown,—,"Feb 5, 2024",0,0,CID524
MangoPoint,Angel,"₹35,000,000","Dec 19, 2023",35000000,420000,CID525
Beautywise,Grant,"$10,000","Nov 4, 2023",750000,9000,CID526
Data Sutram,Series A,"₹249,600,000","Sep 26, 2023",249600000,2995200,CID527
BetterSpace,Pre-Seed,"₹4,500,000","Dec 12, 2023",4500000,54000,CID528
Finayo,Debt Financing,—,"Dec 18, 2023",0,0,CID529
GoApptiv,Corporate Round,"₹420,000,000","Dec 14, 2023",420000000,5040000,CID530
Neverinstall,Seed,"$600,000","Nov 10, 2023",45000000,540000,CID531
Daily Staple,Pre-Seed,"₹17,600,000","Sep 6, 2023",17600000,211200,CID532
Infurnia Technologies,Venture - Series Unknown,"$1,200,000","Oct 31, 2023",90000000,1080000,CID533
GradRight,Series A,"₹500,000,000","Aug 24, 2023",500000000,6000000,CID534
Vridhi Home Finance,Series A,"₹1,500,000,000","Oct 30, 2023",1500000000,18000000,CID535
Regency Healthcare,Secondary Market,"₹4,500,000,000","Nov 7, 2023",4500000000,54000000,CID536
ChargeZone,Venture - Series Unknown,—,"Dec 12, 2023",0,0,CID537
Parcel,Seed,"$2,500,000","Sep 21, 2021",187500000,2250000,CID538
Hatchfast,Pre-Seed,"₹12,500,000","Oct 28, 2023",12500000,150000,CID539
Printmann Group,Private Equity,—,"Feb 13, 2024",0,0,CID540
insideFPV,Seed,—,"Sep 21, 2023",0,0,CID541
MoveInSync,Series C,"₹1,250,000,000","Jan 29, 2024",1250000000,15000000,CID542
Oyela,Seed,"₹144,000,000","Oct 9, 2023",144000000,1728000,CID543
Flipkart,Secondary Market,"$1,400,000,000","Jul 31, 2023",1.05E+11,1260000000,CID544
JoySpoon,Seed,"₹12,500,000","Oct 28, 2023",12500000,150000,CID545
Boxs,Seed,"$1,600,000","Aug 22, 2023",120000000,1440000,CID546
JSW Paints,Corporate Round,"₹7,500,000,000","Nov 23, 2023",7500000000,90000000,CID547
Docosage,Pre-Seed,—,"Jan 24, 2024",0,0,CID548
Infra.Market,Debt Financing,"₹1,000,000,000","Jan 24, 2024",1000000000,12000000,CID549
Ashv Finance,Series E,"₹833,300,000","Dec 6, 2023",833300000,9999600,CID550
Sarvam AI,Seed,—,"Dec 7, 2023",0,0,CID551
Jupiter Wagons,Post-IPO Equity,"₹4,030,000,000","Dec 5, 2023",4030000000,48360000,CID552
Finsire,Seed,"$1,300,000","Mar 15, 2023",97500000,1170000,CID553
Shriram Properties,Post-IPO Secondary,"₹1,900,000,000","Dec 5, 2023",1900000000,22800000,CID554
ZOFF,Angel,"₹10,000,000","Feb 9, 2023",10000000,120000,CID555
Sula Vineyards,Post-IPO Secondary,"₹5,130,000,000","Aug 31, 2023",5130000000,61560000,CID556
Mamaearth,Post-IPO Secondary,"₹2,300,000,000","Dec 5, 2023",2300000000,27600000,CID557
Recykal,Series A,"$7,360,000","Sep 1, 2022",552000000,6624000,CID558
MoEVing,Seed,—,"Dec 1, 2023",0,0,CID559
J.C. Flowers Asset Reconstruction,Private Equity,"₹24,000,000","Oct 27, 2023",24000000,288000,CID560
YouVah,Pre-Seed,"₹17,400,000","Oct 4, 2023",17400000,208800,CID561
Kale Logistics Solutions,Series B,"$30,000,000","Sep 11, 2023",2250000000,27000000,CID562
Expertrons,Seed,—,"Aug 7, 2023",0,0,CID563
Shriram Transport Finance Company,Post-IPO Debt,"$420,000,000","Dec 1, 2008",31500000000,378000000,CID564
Karnataka Bank,Post-IPO Equity,"₹8,000,000,000","Oct 26, 2023",8000000000,96000000,CID565
Adani Green Energy,Post-IPO Equity,"₹39,560,000,000","Aug 7, 2023",39560000000,474720000,CID566
KoinX,Venture - Series Unknown,—,"Jan 16, 2024",0,0,CID567
Shriram Transport Finance Company,Post-IPO Debt,"$490,000,000","Sep 1, 2010",36750000000,441000000,CID568
Cellogen Therapeutics,Corporate Round,"₹150,100,000","Jan 17, 2024",150100000,1801200,CID569
Firstup Spaces,Seed,"₹20,000,000","Nov 28, 2023",20000000,240000,CID570
Sapphire Systems,Private Equity,—,"Jan 5, 2020",0,0,CID571
Aretto,Seed,"₹45,600,000","Aug 17, 2023",45600000,547200,CID572
Cygnus Medicare,Debt Financing,"₹1,500,000,000","Jan 15, 2024",1500000000,18000000,CID573
Farmology,Seed,—,"Jul 31, 2023",0,0,CID574
ANSR,Venture - Series Unknown,"$150,000,000","Oct 25, 2023",11250000000,135000000,CID575
Oben Electric,Seed,"₹400,000,000","Jun 27, 2023",400000000,4800000,CID576
OneDios,Convertible Note,"₹60,000,000","Nov 29, 2023",60000000,720000,CID577
Edumoon,Seed,"₹2,000,000","May 1, 2022",2000000,24000,CID578
Krutrim,Debt Financing,"$24,000,000","Oct 10, 2023",1800000000,21600000,CID579
TBO.com,Private Equity,—,"Oct 21, 2023",0,0,CID580
Pee Safe,Series B,"₹250,000,000","Sep 11, 2023",250000000,3000000,CID581
Quick Smart Wash,Series B,"₹400,000,000","Sep 28, 2023",400000000,4800000,CID582
Ambitio,Pre-Seed,"₹15,500,000","Jan 10, 2024",15500000,186000,CID583
Grip Invest,Convertible Note,"₹120,000,000","Jan 9, 2024",120000000,1440000,CID584
Cult.fit,Series F,"$145,000,000","Nov 9, 2021",10875000000,130500000,CID585
AayushBharat,Seed,—,"Jul 14, 2023",0,0,CID586
Unstop,Seed,"$5,000,000","Aug 2, 2023",375000000,4500000,CID587
AU Small Finance Bank,Debt Financing,"$20,000,000","Mar 1, 2013",1500000000,18000000,CID588
Docker Vision,Seed,—,"Nov 21, 2023",0,0,CID589
Swapp Design,Pre-Seed,—,"Oct 19, 2023",0,0,CID590
Simactricals,Seed,—,"Nov 21, 2023",0,0,CID591
EVhicle Mobility,Seed,—,"Nov 21, 2023",0,0,CID592
Rocketium,Venture - Series Unknown,"$5,300,000","Aug 24, 2023",397500000,4770000,CID593
ReCircle,Seed,—,"Sep 26, 2023",0,0,CID594
Smarter Dharma,Seed,"₹41,600,000","Oct 19, 2023",41600000,499200,CID595
Redwing,Seed,"$1,000,000","Feb 15, 2021",75000000,900000,CID596
Hectar Global,Seed,"$2,100,000","Jul 12, 2023",157500000,1890000,CID597
